	graphemes	phonemes	phones	lang
180	wouldn't	wˈʊdʌnt	wˈʊdənt	eng
181	be	bˈi	bˈi	eng
182	more	mˈɔɹ	mˈɔɹ	eng
183	painful	pˈeɪnfʌl	pˈeɪnfʊəɹ	eng
184	when	wˈɛn	wˈɛn	eng
185	you	jˈu	jˈu	eng
186	compare	kʌmpˈɛɹ	kʌmpˈɛɹ	eng
187	to	tˈu	tˈu	eng
188	a	ʌ	ʌ	eng
189	time	tˈaɪm	tˈaɪm	eng
190	when	wˈɛn	wˈɛ	eng
191	you	jˈu	jˈu	eng
192	give	gˈɪv	gˈɪv	eng
193	birth	bˈɝθ	bˈɝθ	eng
194	to	tˈu	tˈu	eng
195	a	ʌ	ə	eng
196	child	ʧˈaɪld	ʧˈaɪld	eng
197				eng
198	they	ðˈeɪ	ðˈeɪ	eng
199	they	ðˈeɪ	ðˈeɪ	eng
200	have	hˈæv	hˈæv	eng
201	they	ðˈeɪ	ðˈeɪ	eng
202	have	hˈæv	hˈæv	eng
203	different	dˈɪfɝʌnt	dˈɪfrənt	eng
204	levels	lˈɛvʌlz	lˈɛvʌlz	eng
205	I	ˈaɪ	ˈaɪ	eng
206	I	ˈaɪ	ˈaɪ	eng
207	think	θˈɪŋk	θˈɪŋk	eng
208	the	ðʌ	ðə	eng
209	the	ðʌ	ðə	eng
210	highest	hˈaɪʌst	hˈaɪʌst	eng
211	level	lˈɛvʌl	lˈɛvʌl	eng
212	that	ðˈæt	ðˈæt	eng
213	I	ˈaɪ	ˈaɪ	eng
214	reached	ɹˈiʧt	ɹˈiʧ	eng
215	of	ˈʌv	ˈʌv	eng
216	of	ˈʌv	ˈʌv	eng
217	the	ðʌ	ðə	eng
218	pain	pˈeɪn	pˈeɪn	eng
219	maybe	mˈeɪbi	mˈeɪbi	eng
220	nine	nˈaɪn	nˈaɪn	eng
221	or	ˈɔɹ	ˈɔɹ	eng
222	just	ʤˈʌst	ʤˈʌs	eng
223	eight	ˈeɪt	ˈeɪt	eng
224	but	bˈʌt	bˈʌʔ	eng
225	but	bˈʌt	bˈʌt	eng
226	if	ˈɪf	ˈɪf	eng
227	if	ˈɪf	ˈɪf	eng
228	you	jˈu	jˈu	eng
229	give	gˈɪv	gˈɪv	eng
230	birth	bˈɝθ	bˈɝθ	eng
231	to	tˈu	tˈu	eng
232	a	ʌ	ə	eng
233	child	ʧˈaɪld	ʧˈaɪld	eng
234	it	ˈɪt	ˈɪt	eng
235	would	wˈʊd	wˈʊd	eng
236	be	bˈi	bˈi	eng
237	thirteen	θˈɝtˈin	θˈɝtˈin	eng
238	I	ˈaɪ	ˈaɪ	eng
239	I	ˈaɪ	ˈaɪ	eng
240	can't	kˈænt	kˈant	eng
241	imagine	ˌɪmˈæʤʌn	ˌɪmˈæʤɪn	eng
242				eng
243				eng
244	I	ˈaɪ	ˈaɪ	eng
245	I	ˈaɪ	ˈaɪʔ	eng
246	I	ˈaɪ	ˈaɪ	eng
247	don't	dˈoʊnt	dˈont	eng
248	know	nˈoʊ	nˈo	eng
249	whether	wˈɛðɝ	wˈɛðɝ	eng
250	you	jˈu	jˈu	eng
251	also	ˈɔlsoʊ	ˈɔlsə	eng
252	had	hˈæd	hˈæd	eng
253	a	ʌ	ə	eng
254	operation	ˌɑpɝˈeɪʃʌn	ˌɑpɝˈeɪʃən	eng
255	but	bˈʌt	bˈʌ	eng
256				eng
257	really	ɹˈɪli	ɹˈɪli	eng
258				eng
259	is	ˈɪz	ˈɪz	eng
260	is	ˈɪz	ˈɪz	eng
261	it	ˈɪt	ˈɪt	eng
262	big	bˈɪg	bˈɪg	eng
263				eng
264				eng
265	that's	ðˈæts	ðˈæts	eng
266	true	tɹˈu	tɹˈu	eng
267	and	ʌnd	æn	eng
268				eng
269				eng
270				eng
271	yeah	jˈæ	jˈæ	eng
272	ehm	ɛm	ɛm	eng
273	/w/	w	w	eng
274	when	wˈɛn	wˈɛ	eng
275	when	wˈɛn	wˈɛn	eng
276	I	ˈaɪ	ˈaɪ	eng
277	went	wˈɛnt	wˈɛnt	eng
278	there	ðˈɛɹ	ðˈɛɹ	eng
279				eng
280	/ð/	ð	ð	eng
281	there	ðˈɛɹ	ðˈɛɹ	eng
282	is	ˈɪz	ˈɪz	eng
283	the	ðʌ	ðəʔ	eng
284				eng
285	uh	ˈʌ	ˈʌ	eng
286	there	ðˈɛɹ	ðˈɛɹ	eng
287	is	ˈɪz	ˈɪz	eng
288	a	ʌ	ʌ	eng
289				eng
290	doctor	dˈɑktɝ	dˈɒktɝ	eng
291	who	hˈu	hˈu	eng
292	who	hˈu	hˈu	eng
293	speaks	spˈiks	spˈiks	eng
294	English	ˈɪŋglɪʃ	ˈɪŋglɪʃ	eng
295	quite	kwˈaɪt	kwˈaɪ	eng
296	well	wˈɛl	wˈɛl	eng
297	and	ʌnd	æn	eng
298	she	ʃˈi	ʃˈi	eng
299	explains	ɪksplˈeɪnz	eksplˈeɪnz	eng
300	to	tˈu	tˈu	eng
301	you	jˈu	jˈu	eng
302				eng
303	about	ʌbˈaʊt	ʌbˈaʊt	eng
304	all	ˈɔl	ˈɔl	eng
305	the	ðʌ	ðə	eng
306	problem	pɹˈɑblʌm	pɹˈɑbləm	eng
307	you	jˈu	jˈu	eng
308	have	hˈæv	hˈæv	eng
309	and	ʌnd	æn	eng
310	what	wˈʌt	wˈɒ	eng
311	what	wˈʌt	wˈɒt	eng
312	do	dˈu	dˈu	eng
313	we	wˈi	wˈi	eng
314	need	nˈid	nˈid	eng
315	to	tˈu	tˈu	eng
316	do	dˈu	dˈu	eng
317	for	fˈɔɹ	fˈɔ	eng
318	you	jˈu	jˈu	eng
319	and	ʌnd	æn	eng
320	what	wˈʌt	wˈɒt	eng
321	to	tˈu	tˈu	eng
322	need	nˈid	nˈit	eng
323	to	tˈu	tˈu	eng
324				eng
325	mh	m	m	eng
326	have	hˈæv	hˈæv	eng
327	cautions	kˈɔʃʌnz	kˈɔʃənz	eng
328				eng
329	yeah	jˈæ	jˈæ	eng
330	she	ʃˈi	ʃˈi	eng
331	explained	ɪksplˈeɪnd	ɪsplˈeɪnd	eng
332	quite	kwˈaɪt	kwˈaɪt	eng
333	clearly	klˈɪɹli	klˈɪɹli	eng
334	and	ʌnd	ænd	eng
335	her	hˈɝ	hˈɝ	eng
336	English	ˈɪŋglɪʃ	ˈɪŋglɪʃ	eng
337	is	ˈɪz	ˈɪz	eng
338				eng
339	quite	kwˈaɪt	kwˈaɪ	eng
340				eng
341	better	bˈɛtɝ	bˈɛtɝɹ	eng
342	quite	kwˈaɪt	kwˈaɪt	eng
343	better	bˈɛtɝ	bˈɛtɝ	eng
344	than	ðˈæn	ðˈæn	eng
345	me	mˈi	mˈi	eng
346				eng
347	and	ʌnd	æn	eng
348				eng
349	pronounces	pɹʌnˈaʊnsɪz	pɹʌnˈaʊnsɪz	eng
350	pronounciation	pɹənawnsiejʃən	pɹənawsiejʃən	eng
351	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
352	very	vˈɛɹi	vˈɛɹi	eng
353	clearly	klˈɪɹli	klˈiɹli	eng
354				eng
355	ehm	ɛm	ɛm	eng
356	yeah	jˈæ	jˈæ	eng
357	she	ʃˈi	ʃˈɪ	eng
358	she	ʃˈi	ʃˈ	eng
359	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
360	/kʌmf/	kʌmf	kʌmf	eng
361	comforting	kˈʌmfɝtɪŋ	kˈʌmfɝtɪŋ	eng
362	me	mˈi	mˈi	eng
363	which	wˈɪʧ	wˈɪʧ	eng
364	makes	mˈeɪks	mˈeɪks	eng
365	me	mˈi	mˈi	eng
366				eng
367	yeah	jˈæ	jˈæ	eng
368	coz	kˈɑz	kˈɑz	eng
369	coz	kˈɑz	kˈɑz	eng
370	other	ˈʌðɝ	ˈʌðɝ	eng
371	doctors	dˈɑktɝz	dˈɒktəz	eng
372	speak	spˈik	spˈik	eng
373	German	ʤˈɝmʌn	ʤˈɝmən	eng
374	and	ʌnd	æn	eng
375	they	ðˈeɪ	ðˈeɪ	eng
376	they	ðˈeɪ	ðˈeɪ	eng
377	told	tˈoʊld	tˈoʊld	eng
378	me	mˈi	mˈi	eng
379	hm	hʌm	hʌm	eng
380	you	jˈu	jˈu	eng
381	need	nˈid	nˈid	eng
382	to	tˈu	tˈu	eng
383	learn	lˈɝn	lˈɝn	eng
384	German	ʤˈɝmʌn	ʤˈɝmən	eng
385	coz	kˈɑz	kˈɑz	eng
386	you	jˈu	jˈu	eng
387	are	ˈɑɹ	ˈɑ	eng
388	here	hˈiɹ	hˈiɹ	eng
389				eng
390	so	sˈoʊ	sˈoʊ	eng
391	/wʊ/	wʊ	wu	eng
392	/wʊ/	wʊ	wu	eng
393	would	wˈʊd	ˈud	eng
394	Chinese	ʧaɪnˈiz	ʧaɪnˈiz	eng
395	people	pˈipʌl	pˈipʌl	eng
396	tell	tˈɛl	tˈɛl	eng
397	you	jˈu	jˈu	eng
398	that	ðˈæt	ðˈæt	eng
399	you	jˈu	jˈu	eng
400	need	nˈid	nˈid	eng
401	to	tˈu	tˈu	eng
402	learn	lˈɝn	lˈɝn	eng
403	Chinese	ʧaɪnˈiz	ʧaɪnˈiz	eng
404	when	wˈɛn	wˈɛn	eng
405	when	wˈɛn	wˈɛn	eng
406	you	jˈu	jˈu	eng
407	are	ɑɹ	ɑɹ	eng
408	there?	ðˈɛɹ?	ðˈɛɹ?	eng
409				eng
410	yeah	jˈæ	jˈæ	eng
411	we	wˈi	wˈɪ	eng
412	we	wˈi	wˈɪ	eng
413	we	wˈi	wˈɪ	eng
414	don't	dˈoʊnt	dˈon	eng
415				eng
416	we	wˈi	wˈɪ	eng
417	we	wˈi	wˈɪ	eng
418	would	wˈʊd	wˈud	eng
419	try	tɹˈaɪ	tɹˈaɪ	eng
420	to	tˈu	tˈu	eng
421	talk	tˈɔk	tˈɔk	eng
422	to	tˈu	tˈu	eng
423	you	jˈu	jˈu	eng
424	with	wˈɪð	wˈɪð	eng
425				eng
426	in	ɪn	ɪn	eng
427	English	ˈɪŋglɪʃ	ˈɪŋglɪʃ	eng
428	yeah	jˈæ	jˈæ	eng
429	but	bˈʌt	bˈʌt	eng
430	here	hˈiɹ	hˈiɹ	eng
431				eng
432	you	jˈu	jˈu	eng
433	must	mˈʌst	mˈʌs	eng
434	learn	lˈɝn	lˈɝn	eng
435	German	ʤˈɝmʌn	ʤˈɝmən	eng
436	coz	kˈɑz	kˈɑz	eng
437	you	jˈu	jˈu	eng
438	are	ˈɑɹ	ˈɑɹ	eng
439	in	ɪn	ɪn	eng
440	Germany	ʤˈɝmʌni	ʤˈɝməni	eng
441	you	jˈu	jˈu	eng
442	you	jˈu	jˈu	eng
443	can't	kˈænt	kˈant	eng
444	say	sˈeɪ	sˈeɪ	eng
445	English	ˈɪŋglɪʃ	ˈɪŋglɪʃ	eng
446	we	wˈi	wˈɪ	eng
447	we	wˈi	wˈɪ	eng
448	we	wˈi	wˈɪ	eng
449	don't	dˈoʊnt	dˈont	eng
450	accept	æksˈɛpt	æksˈɛpt	eng
451	English	ˈɪŋglɪʃ	ˈɪŋglɪʃ	eng
452	and	ʌnd	æn	eng
453	we	wˈi	wˈɪ	eng
454	we	wˈi	wˈɪ	eng
455	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
456	can't	kˈænt	kˈant	eng
457	say	sˈeɪ	sˈeɪ	eng
458	English	ˈɪŋglɪʃ	ˈɪŋglɪʃ	eng
459	fluently	flˈuʌntli	flˈuəntli	eng
460				eng
461	if	ˈɪf	ˈɪf	eng
462	you	jˈu	jˈu	eng
463	if	ˈɪf	ˈɪf	eng
464	you	jˈu	jˈu	eng
465	talk	tˈɔk	tˈɔk	eng
466	to	tˈu	tˈu	eng
467	young	jˈʌŋ	jˈʌŋ	eng
468	people	pˈipʌl	pˈipʌl	eng
469	but	bˈʌt	bˈʌʔ	eng
470	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
471	when	wˈɛn	wˈɛn	eng
472	you	jˈu	jˈu	eng
473	when	wˈɛn	wˈɛn	eng
474	you	jˈu	jˈu	eng
475	are	ˈɑɹ	ˈɑɹ	eng
476	getting	gˈɛtɪŋ	gˈɛtɪŋ	eng
477	a	ʌ	ʌ	eng
478	package	pˈækʌʤ	pˈækeʤ	eng
479	from	fɹˈʌm	fɹˈɒm	eng
480	the	ðʌ	ðəʔ	eng
481	/træns/	træns	træns	eng
482	/træns/	træns	træns	eng
483	transfer	tɹænsfˈɝ	tɹænsfˈɝ	eng
484				eng
485	he	hˈi	xˈi	eng
486	he	hˈi	xˈi	eng
487	will	wˈɪl	wˈɪl	eng
488	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
489	speak	spˈik	spˈik	eng
490	German	ʤˈɝmʌn	ʤˈɝmən	eng
491	to	tˈu	tˈu	eng
492	you	jˈu	jˈu	eng
493	and	ʌnd	æn	eng
494	when	wˈɛn	wˈən	eng
495	when	wˈɛn	wˈɛn	eng
496	you	jˈu	jˈu	eng
497	when	wˈɛn	wˈɛn	eng
498	you	jˈu	jˈu	eng
499	get	gˈɛt	gˈɛt	eng
500	some	sˈʌm	sˈʌm	eng
501				eng
502	foods	fˈudz	fˈudz	eng
503	from	fɹˈʌm	fɹˈʌm	eng
504	lieferando	lifɹ̩əndow	lifəɹændow	eng
505	or	ˈɔɹ	ˈɔɹ	eng
506				eng
507	or	ˈɔɹ	ˈɔɹ	eng
508	from	fɹˈʌm	fɹˈʌm	eng
509	others	ˈʌðɝz	ˈʌðɝz	eng
510	they	ðˈeɪ	ðˈeɪ	eng
511	they	ðˈeɪ	ðˈeɪ	eng
512	will	wˈɪl	wˈɪl	eng
513	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
514	speak	spˈik	spˈik	eng
515	German	ʤˈɝmʌn	ʤˈɝmən	eng
516	to	tˈu	tˈu	eng
517	they	ðˈeɪ	ðˈeɪ	eng
518	never	nˈɛvɝ	nˈɛvɝ	eng
519	speak	spˈik	spˈik	eng
520	English	ˈɪŋglɪʃ	ˈɪŋglɪʃ	eng
521	never	nˈɛvɝ	nˈɛvɝ	eng
522	never	nˈɛvɝ	nˈɛvɝʔ	eng
523	Yeah	jˈæ	jˈæ	eng
524	I	ˈaɪ	ˈaɪ	eng
525	don't	dˈoʊnt	dˈoʊnt	eng
526	know	nˈoʊ	nˈoʊ	eng
527	whether	wˈɛðɝ	wˈɛðɝʔ	eng
528	ah	ˈɑ	ˈɑʔ	eng
529	whether	wˈɛðɝ	wˈɛðɝ	eng
530	because	bɪkˈɔz	bɪkˈɜrz	eng
531	they	ðˈeɪ	ðˈeɪ	eng
532	they	ðˈeɪ	ðˈeɪ	eng
533	have	hˈæv	hˈæv	eng
534	never	nˈɛvɝ	nˈɛvɝ	eng
535	learned	lˈɝnd	lˈɝnd	eng
536	English	ˈɪŋglɪʃ	ˈɪŋglɪʃ	eng
537	or	ˈɔɹ	ˈɔɹ	eng
538	just	ʤˈʌst	ʤˈʌst	eng
539	they	ðˈeɪ	ðˈeɪ	eng
540	can't	kˈænt	kˈant	eng
541	say	sˈeɪ	sˈeɪ	eng
542	I	ˈaɪ	ˈa	eng
543	I	ˈaɪ	ˈaɪ	eng
544	don't	dˈoʊnt	dˈoʊnt	eng
545	know	nˈoʊ	nˈoʊ	eng
546				eng
547	Maybe	mˈeɪbi	mˈeɪbi	eng
548	maybe	mˈeɪbi	mˈeɪbi	eng
549	they	ðˈeɪ	ðˈeɪ	eng
550	just	ʤˈʌst	ʤˈʌst	eng
551	graduated	gɹˈæʤuˌeɪtɪd	gɹˈæʤuˌeɪtɪd	eng
552	from	fɹˈʌm	fɹˈʌm	eng
553	the	ðʌ	ðə	eng
554	middle	mˈɪdʌl	mˈɪdl	eng
555	school	skˈul	skˈər	eng
556	How	hˈaʊ	hˈa	eng
557	how	hˈaʊ	hˈaʊ	eng
558	can	kˈæn	kˈan	eng
559	I	ˈaɪ	ˈaɪ	eng
560	know	nˈoʊ	nˈoʊ	eng
561	coz	kˈɑz	kˈɑz	eng
562	coz	kˈɑz	kˈɑz	eng
563	/j/	j	j	eng
564	you	jˈu	jˈu	eng
565	you	jˈu	jˈu	eng
566	can't	kˈænt	kˈən	eng
567	tell	tˈɛl	tˈɛlʔ	eng
568	you	jˈu	jˈu	eng
569	can't	kˈænt	kˈən	eng
570	tell	tˈɛl	tˈɛl	eng
571	or	ˈɔɹ	ˈɔɹ	eng
572	judge	ʤˈʌʤ	ʤˈʌʤ	eng
573	from	fɹˈʌm	fɹˈʌm	eng
574	their	ðˈɛɹ	ðˈɛɹ	eng
575	job	ʤˈɑb	ʤˈɑb	eng
576	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
577	and	ʌnd	æn	eng
578				eng
579	workers	wˈɝkɝz	wˈɝkɝz	eng
580				eng
581	I	ˈaɪ	ˈaɪ	eng
582	mean	mˈin	mˈin	eng
583				eng
584	yeah	jˈæ	jˈæ	eng
585	the	ðʌ	ðə	eng
586	whole	hˈoʊl	hˈaʊl	eng
587	semester	sʌmˈɛstɝ	sʌmˈɛstɝ	eng
588				eng
589	so	sˈoʊ	sˈoʊ	eng
590	so	sˈoʊ	sˈoʊ	eng
591	they	ðˈeɪ	ðˈeɪ	eng
592	they	ðˈeɪ	ðˈeɪ	eng
593	don't	dˈoʊnt	dˈont	eng
594	graduated	gɹˈæʤuˌeɪtɪd	gɹˈæʤuˌeɪtɪd	eng
595	from	fɹˈʌm	fɹˈʌm	eng
596	the	ðʌ	ðə	eng
597	university	jˌunʌvˈɝsʌti	jˌunʌvˈɝsʌti	eng
598				eng
599				eng
600	German	ʤˈɝmʌn	ʤˈɝmən	eng
601				eng
602	uh	ˈʌ	ˈʌ	eng
603	speaking	spˈikɪŋ	spˈikɪŋ	eng
604	/ei/	ei	ei	eng
605	one	wʌn	wʌn	eng
606	or	ˈɔɹ	ˈɔɹ	eng
607	/ei/	ei	ei	eng
608	two	tu	tu	eng
609				eng
610	just	ʤˈʌst	ʤˈʌs	eng
611	greetings	gɹˈitɪŋz	gɹˈitɪnz	eng
612	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
613	and	ʌnd	æn	eng
614	just	ʤˈʌst	ʤˈʌs	eng
615	/sə/	sə	sə	eng
616	some	sˈʌm	sˈʌm	eng
617	words	wˈɝdz	wˈɝdz	eng
618				eng
619	but	bˈʌt	bˈʌʔ	eng
620	but	bˈʌt	bˈʌt	eng
621	I	ˈaɪ	ˈaɪ	eng
622	can	kˈæn	kˈən	eng
623	read	ɹˈɛd	ɹˈid	eng
624	everywhere	ˈɛvɹiwˌɛɹ	ˈɛvɹiwˌɛɹ	eng
625	/w/	w	w	eng
626	when	wˈɛn	wˈɛn	eng
627	I	ˈaɪ	ˈaɪ	eng
628	first	fˈɝst	fˈɝst	eng
629	came	kˈeɪm	kˈeɪm	eng
630	here	hˈiɹ	hˈiɹ	eng
631				eng
632	actually	ˈækʧˌuʌli	ˈækʧˌulai	eng
633	I	ˈaɪ	ˈaɪ	eng
634	hate	hˈeɪt	hˈeɪt	eng
635	German	ʤˈɝmʌn	ʤˈɝmən	eng
636	I	ˈaɪ	ˈaɪ	eng
637	don't	dˈoʊnt	dˈoʊn	eng
638	know	nˈoʊ	nˈoʊ	eng
639	why	wˈaɪ	wˈaɪ	eng
640	/meɪ/	meɪ	meɪ	eng
641	maybe	mˈeɪbi	mˈeɪbi	eng
642	I	ˈaɪ	ˈaɪ	eng
643	think	θˈɪŋk	θˈɪŋk	eng
644	the	ðʌ	ðə	eng
645	pronunciation	pɹoʊnˌʌnsiˈeɪʃʌn	pɹoʊnˌʌnsiˈeɪʃʌn	eng
646	is	ˈɪz	ˈɪz	eng
647	a	ʌ	ʌ	eng
648	little	lˈɪtʌl	lˈɪtl	eng
649	bit	bˈɪt	bˈɪt	eng
650	crude	kɹˈud	kɹˈud	eng
651	compared	kʌmpˈɛɹd	kʌmpˈɛɹd	eng
652	to	tˈu	tˈu	eng
